state,year,epi_week,month,dry_season,weeks_into_dry_season,cases_lag1,cases_lag2,cases_lag4,cases_lag8,deaths_lag4,cases_roll4,cases_roll8,cases_roll4_trend,rain_lag4,rain_lag8,humidity_lag4,temp_lag4,is_edo,is_ondo,is_bauchi,is_high_risk,outbreak
Abia,2012,8,2,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,71.14,34.47,0,0,0,0,0
Abia,2012,9,3,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,75.14,33.64,0,0,0,0,0
Abia,2012,10,3,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,79.86,31.59,0,0,0,0,0
Abia,2012,11,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,2.5,82.0,31.03,0,0,0,0,0
Abia,2012,12,3,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.9,84.57,30.16,0,0,0,0,0
Abia,2012,13,3,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,7.6,81.86,31.56,0,0,0,0,0
Abia,2012,14,4,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.3,82.0,31.83,0,0,0,0,0
Abia,2012,15,4,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,19.1,76.0,34.01,0,0,0,0,0
Abia,2012,16,4,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,33.3,72.86,35.09,0,0,0,0,0
Abia,2012,17,4,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,15.4,76.57,33.79,0,0,0,0,0
Abia,2012,18,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,21.0,82.43,32.2,0,0,0,0,0
Abia,2012,19,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,1.9,87.0,30.43,0,0,0,0,0
Abia,2012,20,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9,2.8,86.71,30.57,0,0,0,0,0
Abia,2012,21,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,11.9,85.86,30.97,0,0,0,0,0
Abia,2012,22,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,52.7,86.57,30.59,0,0,0,0,0
Abia,2012,23,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1,50.3,88.14,29.54,0,0,0,0,0
Abia,2012,24,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,47.9,86.29,29.89,0,0,0,0,0
Abia,2012,25,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41.9,90.0,29.23,0,0,0,0,0
Abia,2012,26,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,44.0,90.86,28.46,0,0,0,0,0
Abia,2012,27,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,63.1,88.43,28.87,0,0,0,0,0
Abia,2012,28,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,50.7,93.43,26.94,0,0,0,0,0
Abia,2012,29,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8,53.0,90.14,27.9,0,0,0,0,0
Abia,2012,30,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,51.0,90.14,27.7,0,0,0,0,0
Abia,2012,31,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3,39.3,90.86,27.67,0,0,0,0,0
Abia,2012,32,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,74.7,89.86,27.83,0,0,0,0,0
Abia,2012,33,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,55.8,89.0,27.71,0,0,0,0,0
Abia,2012,34,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9,52.7,89.71,27.47,0,0,0,0,0
Abia,2012,35,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.6,63.3,93.14,26.19,0,0,0,0,0
Abia,2012,36,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,50.8,85.0,27.91,0,0,0,0,0
Abia,2012,37,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,57.1,81.0,28.24,0,0,0,0,0
Abia,2012,38,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,43.9,90.29,27.57,0,0,0,0,0
Abia,2012,39,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,111.6,87.57,28.69,0,0,0,0,0
Abia,2012,40,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7,22.5,90.57,27.66,0,0,0,0,0
Abia,2012,41,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,10.0,88.29,27.96,0,0,0,0,0
Abia,2012,42,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,68.0,88.29,29.19,0,0,0,0,0
Abia,2012,43,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,62.0,89.0,28.37,0,0,0,0,0
Abia,2012,44,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8,70.7,89.86,28.7,0,0,0,0,0
Abia,2012,45,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,51.0,90.57,29.09,0,0,0,0,0
Abia,2012,46,11,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8,56.0,91.14,28.13,0,0,0,0,0
Abia,2012,47,11,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,47.0,90.57,28.74,0,0,0,0,0
Abia,2012,48,11,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,56.8,85.71,29.93,0,0,0,0,0
Abia,2012,49,12,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7,68.4,91.57,28.89,0,0,0,0,0
Abia,2012,50,12,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,61.8,87.86,30.09,0,0,0,0,0
Abia,2012,51,12,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,58.3,87.57,30.01,0,0,0,0,0
Abia,2012,52,12,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,18.7,86.0,29.94,0,0,0,0,0
Abia,2013,1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,79.7,85.86,30.41,0,0,0,0,0
Abia,2013,2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,25.6,81.14,31.36,0,0,0,0,0
Abia,2013,3,1,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,15.2,75.0,32.64,0,0,0,0,0
Abia,2013,4,1,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,69.29,33.64,0,0,0,0,0
Abia,2013,5,1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.3,67.57,34.49,0,0,0,0,0
Abia,2013,6,2,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.3,64.14,34.77,0,0,0,0,0
Abia,2013,7,2,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.2,72.43,34.7,0,0,0,0,0
Abia,2013,8,2,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,82.0,32.16,0,0,0,0,0
