state,year,epi_week,confirmed_cases,suspected_cases,deaths,healthcare_worker_cases,source_type,source_url,temp_max,temp_min,rainfall,humidity,wind_max,obs_days,has_weather,has_cases,notes
Abia,2011,52,,,,,,,33.6,22.1,0.2,71.0,11.6,1,1,0,
Abia,2012,1,,,,,,,34.79,23.06,0.0,64.71,13.8,7,1,0,
Abia,2012,2,,,,,,,35.4,21.63,0.0,55.57,13.1,7,1,0,
Abia,2012,3,,,,,,,33.97,22.37,2.5,68.86,15.4,7,1,0,
Abia,2012,4,,,,,,,34.47,23.44,0.9,71.14,16.6,7,1,0,
Abia,2012,5,,,,,,,33.64,23.24,7.6,75.14,14.7,7,1,0,
Abia,2012,6,,,,,,,31.59,23.06,23.3,79.86,13.6,7,1,0,
Abia,2012,7,,,,,,,31.03,22.8,19.1,82.0,14.4,7,1,0,
Abia,2012,8,,,,,,,30.16,22.41,33.3,84.57,13.7,7,1,0,
Abia,2012,9,,,,,,,31.56,22.83,15.4,81.86,14.0,7,1,0,
Abia,2012,10,,,,,,,31.83,23.0,21.0,82.0,13.2,7,1,0,
Abia,2012,11,,,,,,,34.01,24.29,1.9,76.0,16.6,7,1,0,
Abia,2012,12,,,,,,,35.09,25.03,2.8,72.86,16.8,7,1,0,
Abia,2012,13,,,,,,,33.79,24.36,11.9,76.57,15.5,7,1,0,
Abia,2012,14,,,,,,,32.2,23.36,52.7,82.43,14.5,7,1,0,
Abia,2012,15,,,,,,,30.43,23.51,50.3,87.0,15.8,7,1,0,
Abia,2012,16,,,,,,,30.57,23.56,47.9,86.71,12.9,7,1,0,
Abia,2012,17,,,,,,,30.97,23.7,41.9,85.86,13.0,7,1,0,
Abia,2012,18,,,,,,,30.59,23.33,44.0,86.57,12.7,7,1,0,
Abia,2012,19,,,,,,,29.54,22.84,63.1,88.14,10.2,7,1,0,
Abia,2012,20,,,,,,,29.89,22.8,50.7,86.29,11.3,7,1,0,
Abia,2012,21,,,,,,,29.23,22.61,53.0,90.0,12.5,7,1,0,
Abia,2012,22,,,,,,,28.46,22.56,51.0,90.86,12.1,7,1,0,
Abia,2012,23,,,,,,,28.87,22.66,39.3,88.43,11.3,7,1,0,
Abia,2012,24,,,,,,,26.94,22.44,74.7,93.43,11.5,7,1,0,
Abia,2012,25,,,,,,,27.9,22.01,55.8,90.14,10.1,7,1,0,
Abia,2012,26,,,,,,,27.7,21.49,52.7,90.14,11.1,7,1,0,
Abia,2012,27,,,,,,,27.67,21.36,63.3,90.86,10.9,7,1,0,
Abia,2012,28,,,,,,,27.83,21.63,50.8,89.86,12.9,7,1,0,
Abia,2012,29,,,,,,,27.71,22.03,57.1,89.0,11.1,7,1,0,
Abia,2012,30,,,,,,,27.47,21.63,43.9,89.71,10.0,7,1,0,
Abia,2012,31,,,,,,,26.19,21.66,111.6,93.14,12.2,7,1,0,
Abia,2012,32,,,,,,,27.91,21.93,22.5,85.0,14.2,7,1,0,
Abia,2012,33,,,,,,,28.24,21.66,10.0,81.0,13.0,7,1,0,
Abia,2012,34,,,,,,,27.57,21.3,68.0,90.29,12.7,7,1,0,
Abia,2012,35,,,,,,,28.69,22.09,62.0,87.57,12.9,7,1,0,
Abia,2012,36,,,,,,,27.66,21.57,70.7,90.57,11.5,7,1,0,
Abia,2012,37,,,,,,,27.96,22.01,51.0,88.29,13.7,7,1,0,
Abia,2012,38,,,,,,,29.19,21.91,56.0,88.29,10.9,7,1,0,
Abia,2012,39,,,,,,,28.37,22.67,47.0,89.0,11.9,7,1,0,
Abia,2012,40,,,,,,,28.7,22.24,56.8,89.86,10.7,7,1,0,
Abia,2012,41,,,,,,,29.09,22.23,68.4,90.57,13.3,7,1,0,
Abia,2012,42,,,,,,,28.13,22.44,61.8,91.14,9.4,7,1,0,
Abia,2012,43,,,,,,,28.74,22.66,58.3,90.57,8.5,7,1,0,
Abia,2012,44,,,,,,,29.93,22.66,18.7,85.71,11.5,7,1,0,
Abia,2012,45,,,,,,,28.89,22.16,79.7,91.57,8.3,7,1,0,
Abia,2012,46,,,,,,,30.09,23.03,25.6,87.86,10.9,7,1,0,
Abia,2012,47,,,,,,,30.01,23.19,15.2,87.57,10.7,7,1,0,
Abia,2012,48,,,,,,,29.94,22.91,8.7,86.0,9.8,7,1,0,
Abia,2012,49,,,,,,,30.41,22.84,17.3,85.86,10.4,7,1,0,
Abia,2012,50,,,,,,,31.36,23.43,3.3,81.14,11.3,7,1,0,
Abia,2012,51,,,,,,,32.64,23.13,0.2,75.0,11.5,7,1,0,
Abia,2012,52,,,,,,,33.64,22.29,0.0,69.29,11.3,7,1,0,
Abia,2013,1,,,,,,,34.49,23.36,2.0,67.57,14.6,7,1,0,
Abia,2013,2,,,,,,,34.77,22.14,1.2,64.14,12.2,7,1,0,
Abia,2013,3,,,,,,,34.7,24.83,6.3,72.43,14.6,7,1,0,
Abia,2013,4,,,,,,,32.16,24.17,24.7,82.0,12.8,7,1,0,
Abia,2013,5,,,,,,,33.26,22.13,7.3,61.43,17.5,7,1,0,
Abia,2013,6,,,,,,,35.74,24.77,1.6,69.29,16.3,7,1,0,
Abia,2013,7,,,,,,,33.37,24.11,10.3,75.57,16.8,7,1,0,
Abia,2013,8,,,,,,,33.21,23.99,12.7,77.86,13.2,7,1,0,
Abia,2013,9,,,,,,,33.59,24.89,14.5,77.86,14.3,7,1,0,
Abia,2013,10,,,,,,,31.93,24.36,26.2,81.86,14.1,7,1,0,
Abia,2013,11,,,,,,,32.9,24.26,13.7,81.43,14.8,7,1,0,
Abia,2013,12,,,,,,,32.43,24.07,20.0,82.43,13.6,7,1,0,
Abia,2013,13,,,,,,,31.4,23.61,40.1,84.29,16.2,7,1,0,
Abia,2013,14,,,,,,,31.04,23.6,46.6,85.0,14.2,7,1,0,
Abia,2013,15,,,,,,,31.21,23.63,52.6,85.71,12.6,7,1,0,
Abia,2013,16,,,,,,,29.43,23.19,30.4,88.14,12.2,7,1,0,
Abia,2013,17,,,,,,,30.41,23.14,53.2,88.86,10.0,7,1,0,
Abia,2013,18,,,,,,,29.87,23.34,71.4,89.14,11.2,7,1,0,
Abia,2013,19,,,,,,,30.57,23.61,75.2,89.14,15.5,7,1,0,
Abia,2013,20,,,,,,,29.36,23.3,48.7,89.71,10.4,7,1,0,
Abia,2013,21,,,,,,,29.91,23.7,39.8,87.29,15.5,7,1,0,
Abia,2013,22,,,,,,,28.53,23.21,46.1,89.0,11.6,7,1,0,
Abia,2013,23,,,,,,,28.47,22.54,55.3,89.57,13.0,7,1,0,
Abia,2013,24,,,,,,,28.67,22.8,39.2,88.71,12.0,7,1,0,
Abia,2013,25,,,,,,,28.11,22.5,51.2,90.14,10.0,7,1,0,
Abia,2013,26,,,,,,,27.4,22.03,78.8,92.0,14.0,7,1,0,
Abia,2013,27,,,,,,,27.57,21.81,62.0,90.57,10.9,7,1,0,
Abia,2013,28,,,,,,,27.07,21.61,87.1,91.71,10.8,7,1,0,
Abia,2013,29,,,,,,,28.0,21.91,51.0,88.71,11.9,7,1,0,
Abia,2013,30,,,,,,,27.23,21.93,36.1,88.71,14.5,7,1,0,
Abia,2013,31,,,,,,,28.1,22.2,21.1,83.86,12.9,7,1,0,
Abia,2013,32,,,,,,,26.99,21.96,48.8,89.57,13.3,7,1,0,
Abia,2013,33,,,,,,,27.4,22.19,8.3,80.57,14.8,7,1,0,
Abia,2013,34,,,,,,,26.84,22.0,81.8,91.0,14.3,7,1,0,
Abia,2013,35,,,,,,,27.03,21.83,99.4,91.71,12.4,7,1,0,
Abia,2013,36,,,,,,,27.71,21.96,63.6,90.14,12.4,7,1,0,
Abia,2013,37,,,,,,,27.96,21.39,60.5,90.43,13.8,7,1,0,
Abia,2013,38,,,,,,,29.07,22.8,62.5,88.0,12.7,7,1,0,
Abia,2013,39,,,,,,,27.89,22.23,99.8,92.14,11.1,7,1,0,
Abia,2013,40,,,,,,,28.0,22.26,93.5,90.57,11.5,7,1,0,
Abia,2013,41,,,,,,,28.61,22.2,55.0,90.71,12.2,7,1,0,
Abia,2013,42,,,,,,,28.97,22.87,72.3,89.86,9.8,7,1,0,
Abia,2013,43,,,,,,,29.69,22.39,46.9,88.86,10.0,7,1,0,
Abia,2013,44,,,,,,,29.81,22.59,45.2,88.14,10.6,7,1,0,
Abia,2013,45,,,,,,,30.36,22.83,17.4,86.0,11.2,7,1,0,
Abia,2013,46,,,,,,,29.2,22.63,23.3,89.29,9.8,7,1,0,
Abia,2013,47,,,,,,,28.93,22.57,40.9,90.0,11.0,7,1,0,
Abia,2013,48,,,,,,,30.23,22.81,14.9,87.57,11.2,7,1,0,
Abia,2013,49,,,,,,,29.29,22.4,36.8,88.71,10.9,7,1,0,
Abia,2013,50,,,,,,,29.09,21.84,36.7,87.0,9.5,7,1,0,
Abia,2013,51,,,,,,,31.61,20.11,0.0,67.29,13.4,7,1,0,
